Ash(O),C(O),O/C(O),H/C(O),N/C(O),HHV(O),Moisture,Temperature,Time,Yield,C(H),HHV(H),CR,ER
60.9,20.72,0.414,1.61,0.122,7.82,90.91,240,60,75.95,12.77,4.011,46.809,38.957
27.54,26.542,1.071,1.897,0.124,9.624,95.7,140,240,74.64,28.646,10.072,80.557,78.108
27.54,26.542,1.071,1.897,0.124,9.624,95.7,160,60,81.13,25.241,8.977,77.153,75.674
27.54,26.542,1.071,1.897,0.124,9.624,95.7,160,120,71.08,25.926,9.158,69.43,67.634
27.54,26.542,1.071,1.897,0.124,9.624,95.7,160,240,67.11,24.974,8.533,63.145,59.498
27.54,26.542,1.071,1.897,0.124,9.624,95.7,180,30,70.74,25.172,8.686,67.089,63.841
27.54,26.542,1.071,1.897,0.124,9.624,95.7,180,60,67.18,25.015,8.516,63.314,59.446
27.54,26.542,1.071,1.897,0.124,9.624,95.7,180,120,64.31,23.793,7.893,57.649,52.743
27.54,26.542,1.071,1.897,0.124,9.624,95.7,180,240,61.87,23.292,7.578,54.294,48.717
27.54,26.542,1.071,1.897,0.124,9.624,95.7,200,15,69.32,24.171,8.13,63.126,58.556
27.54,26.542,1.071,1.897,0.124,9.624,95.7,200,30,66.83,24.114,8.094,60.717,56.207
27.54,26.542,1.071,1.897,0.124,9.624,95.7,200,60,64.06,24.315,8.026,58.684,53.419
27.54,26.542,1.071,1.897,0.124,9.624,95.7,200,120,61.26,24.066,7.885,55.545,50.189
27.54,26.542,1.071,1.897,0.124,9.624,95.7,200,240,60.54,23.96,7.812,54.65,49.141
28.6,36.7,0.734,2.093,0.128,14.67,85.7,200,240,53.92,33.3,15.09,48.925,55.464
28.6,36.7,0.734,2.093,0.128,14.67,85.7,200,360,58.71,33.2,14.72,53.111,58.91
28.6,36.7,0.734,2.093,0.128,14.67,85.7,200,480,59.91,32.6,14.37,53.217,58.685
28.6,36.7,0.734,2.093,0.128,14.67,85.7,200,600,60.21,32.5,14.45,53.319,59.307
28.6,36.7,0.734,2.093,0.128,14.67,85.7,200,720,40.42,32.5,14.74,35.794,40.613
15.97,39.435,0.684,1.562,0.076,18.01,96,140,240,61.083,34.384,21.45,53.259,72.75
15.97,39.435,0.668,1.562,0.094,18.01,96,170,240,54.594,34.767,22.02,48.131,66.75
15.97,39.435,0.652,1.562,0.113,18.01,96,190,240,49.617,34.495,22.65,43.401,62.4
15.97,39.435,0.636,1.562,0.131,18.01,96,200,240,48.393,34.484,23.13,42.317,62.15
52,23.4,0.519,2.051,0.139,9.26,97.071,220,720,67.7,16.5,5.97,47.737,43.647
54,22.8,0.553,1.789,0.071,9.006,66.67,200,30,87,22.4,8.864,85.474,85.619
54,22.8,0.553,1.789,0.071,9.006,66.67,200,180,87,21.4,8.112,81.658,78.363
54,22.8,0.553,1.789,0.071,9.006,66.67,260,30,82,21.3,8.185,76.605,74.522
54,22.8,0.553,1.789,0.071,9.006,66.67,260,180,82,22.1,8.682,79.482,79.045
50.7,24.5,0.511,1.812,0.112,10.017,66.67,200,30,83,23.3,9.048,78.935,74.97
50.7,24.5,0.511,1.812,0.112,10.017,66.67,200,180,79,23.3,9.006,75.131,71.029
50.7,24.5,0.511,1.812,0.112,10.017,66.67,260,30,76,22.5,8.749,69.796,66.381
50.7,24.5,0.511,1.812,0.112,10.017,66.67,260,180,73,22.4,8.687,66.743,63.305
13.6,43,0.537,1.647,0.128,18.412,89.5,170,60,48.5,46.3,20.575,52.222,54.2
13.6,43,0.537,1.647,0.128,18.412,89.5,200,60,40.1,49.4,21.952,46.068,47.811
13.6,43,0.537,1.647,0.128,18.412,89.5,230,60,29.7,50.5,22.668,34.88,36.566
69.75,24.17,0.029,1.847,0.051,11.24,66.67,160,60,79.4,21.32,9.42,70.038,66.543
42.23,26.47,0.605,2.285,0.159,11.52,87.5,160,30,79.63,21.83,8.62,65.671,59.584
42.23,26.47,0.605,2.285,0.159,11.52,87.5,180,30,77.59,21.27,7.94,62.348,53.478
42.23,26.47,0.605,2.285,0.159,11.52,87.5,200,30,72.92,22.02,9.33,60.661,59.058
4.87,52.18,0.48,1.86,0.011,24.263,62.8,250,120,36.57,70.37,34.798,49.318,52.45
4.87,52.18,0.48,1.86,0.011,24.263,73.429,250,120,27.31,72.24,35.699,37.809,40.183
4.87,52.18,0.48,1.86,0.011,24.263,79.333,250,120,22.84,72.45,36.68,31.712,34.529
4.87,52.18,0.48,1.86,0.011,24.263,84.5,250,120,14.63,73.35,37.132,20.566,22.39
4.87,52.18,0.48,1.86,0.011,24.263,88.375,250,120,10.3,74.53,37.466,14.712,15.905
4.87,52.18,0.48,1.86,0.011,24.263,90.7,250,120,8.96,76.33,37.911,13.107,14
4.87,52.18,0.48,1.86,0.011,24.263,62.8,250,240,35.07,71.38,35.361,47.974,51.111
4.87,52.18,0.48,1.86,0.011,24.263,73.429,250,240,23.28,72.54,35.757,32.364,34.309
4.87,52.18,0.48,1.86,0.011,24.263,79.333,250,240,10.75,74.05,37.244,15.256,16.502
4.87,52.18,0.48,1.86,0.011,24.263,79.333,250,480,8.51,75.8,37.208,12.362,13.05
4.87,52.18,0.48,1.86,0.011,24.263,90.7,250,480,5.97,76.9,37.607,8.798,9.253
15.41,43.79,0.422,1.803,0.188,20.007,90.42,160,60,62.11,44.56,20.186,63.202,62.665
15.41,43.79,0.422,1.803,0.188,20.007,90.42,200,60,43.15,46.16,21.335,45.485,46.014
15.41,43.79,0.422,1.803,0.188,20.007,90.42,240,60,32.42,49.81,23.197,36.877,37.588
18.17,42,0.439,1.771,0.159,18.848,10.091,200,60,65.76,45.34,20.762,70.989,72.438
46.5,27.9,0.438,2.022,0.12,13.7,80,260,120,71.2,25.6,12.4,65.33,64.444
46.5,27.9,0.438,2.022,0.12,13.7,80,260,240,71.8,25.6,12.6,65.881,66.035
63.9,17.8,0.51,1.551,0.014,8.8,90.164,200,60,24.853,14,9.1,19.547,25.7
63.9,17.8,0.51,1.551,0.014,8.8,90.164,250,60,34.286,22.5,7.7,43.339,30
63,13.1,0.784,3.389,0.268,7.3,90.164,200,60,74.703,13.2,6,75.274,61.4
63,13.1,0.784,3.389,0.268,7.3,90.164,250,60,77.088,11.6,5,68.261,52.8
